JobIDRaw|JobName|State|ExitCode|Elapsed|Start|End|MaxRSS|AllocTRES
21279542|peano-hydra-alpha-prepare|COMPLETED|0:0|00:03:03|2026-08-26T22:30:44|2026-08-26T22:33:47||billing=4,cpu=4,mem=8388608K,node=1
21279542.batch|batch|COMPLETED|0:0|00:03:03|2026-08-26T22:30:44|2026-08-26T22:33:47|333644K|cpu=4,mem=8388608K,node=1
21279955|peano-hydra-alpha-prepare|COMPLETED|0:0|00:03:03|2026-08-26T22:35:58|2026-08-26T22:39:01||billing=4,cpu=4,mem=8388608K,node=1
21279955.batch|batch|COMPLETED|0:0|00:03:03|2026-08-26T22:35:58|2026-08-26T22:39:01|276928K|cpu=4,mem=8388608K,node=1
21279969|peano-hydra-alpha-train|COMPLETED|0:0|00:15:20|2026-08-26T22:39:05|2026-08-26T22:54:25||billing=1,cpu=8,gres/gpu=1,mem=67108864K,node=1
21279969.batch|batch|COMPLETED|0:0|00:15:20|2026-08-26T22:39:05|2026-08-26T22:54:25|6699008K|cpu=8,gres/gpu=1,mem=67108864K,node=1
21280018|peano-hydra-alpha-evaluate|COMPLETED|0:0|00:00:44|2026-08-26T22:54:48|2026-08-26T22:55:32||billing=1,cpu=8,gres/gpu=1,mem=67108864K,node=1
21280018.batch|batch|COMPLETED|0:0|00:00:44|2026-08-26T22:54:48|2026-08-26T22:55:32|8934848K|cpu=8,gres/gpu=1,mem=67108864K,node=1
